,City,State,Average Rent,Murders,Population,"Murder Rate (per 100,000)",
31,Fresno,CA,301,30,520052,4,
59,Fort Wayne,IN,626,17,260326,13,
47,New Orleans,LA,708,130,389617,33,
20,Detroit,MI,750,216,677116,33,
61,Toledo,OH,779,5,279789,3,
46,Cleveland,OH,830,96,388072,23,
37,Kansas City,MO,848,77,475378,19,
72,Mobile,AL,860,6,194288,6,
49,Wichita,KS,871,13,389965,3,
24,Memphis,TN,876,114,655770,24,
14,Indianapolis,IN,892,102,853173,14,
18,Louisville,KY,934,52,615366,13,
60,Greensboro,NC,936,15,285342,7,
43,Tulsa,OK,980,43,403505,13,
54,Cincinnati,OH,995,50,298550,17,
30,Milwaukee,WI,1032,105,600155,14,
17,Tucson,AZ,1044,23,531641,3,
12,Jacksonville,FL,1084,67,67357,116,
16,Columbus,OH,1087,71,850106,8,
4,San Antonio,TX,1115,78,1469845,8,
58,Lexington,KY,1117,13,314488,5,
34,Oklahoma City,OK,1120,28,631346,5,
19,El Paso,TX,1126,12,681124,2,
68,Lincoln,NE,1154,0,277348,3,
33,Albuquerque,NM,1187,35,559121,8,
6,Phoenix,AZ,1194,72,1563025,7,
36,Atlanta,GA,1200,68,463878,18,
35,Raleigh,NC,1217,8,451066,2,
7,Las Vegas,NV,1220,90,623747,20,
64,Stockton,CA,1253,30,305658,12,
53,Pittsburgh,PA,1279,46,304391,15,
63,Durham,NC,1279,25,257636,12,
39,Colorado Springs,CO,1284,12,456568,3,
28,Sacramento,CA,1286,31,490712,4,
21,Orlando,FL,1301,19,270934,27,
66,Newark,NJ,1308,76,281944,26,
48,Arlington,TX,1343,4,388125,4,
29,Baltimore,MD,1359,249,621849,37,
67,Henderson,NV,1383,1,285667,1,
15,Fort Worth,TX,1389,61,833319,6,
9,Dallas,TX,1395,95,1300092,9,
52,Bakersfield,CA,1396,21,373640,6,
69,Chandler,AZ,1400,2,260828,1,
40,Virginia Beach,VA,1406,17,452745,3,
11,Austin,TX,1460,13,931830,3,
5,Philadelphia,PA,1476,209,1567442,14,
3,Houston,TX,1490,191,2296224,9,
26,Nashville,TN,1515,47,654610,8,
44,Minneapolis,MN,1523,34,410939,6,
57,Corpus Christi,TX,1543,10,324074,3,
50,Aurora,CO,1616,13,200661,8,
27,Portland,OR,1724,19,632309,2,
2,Chicago,IL,1758,378,2720546,20,
51,Riverside,CA,1803,6,322424,2,
62,Anchorage,AK,1822,19,298695,9,
65,Plano,TX,1832,2,283558,2,
38,Long Beach,CA,1960,25,474140,6,
22,Denver,CO,1968,32,682545,5,
70,Jersey City,NJ,2178,11,264290,5,
73,Chula Vista,CA,2199,5,265757,0,
23,Seattle,WA,2259,17,684451,2,
55,Anaheim,CA,2290,10,350742,1,
8,San Diego,CA,2342,23,1394928,2,
41,Miami,FL,2382,62,441003,10,
45,Honolulu,HI,2511,12,,,
42,Oakland,CA,2607,65,419267,12,
25,Boston,MA,2617,28,667137,4,
0,New York,NY,2978,266,8550405,3,
10,San Jose,CA,3031,22,1026908,3,
1,Los Angeles,CA,3195,209,3971883,5,
13,San Francisco,CA,4552,35,864816,4,
