,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
0,SC,Abbeville,25417,24360.33225,21510.19482,5176.769348,0,10349,9637,712,7
1,LA,Acadia,61773,44415.58912,32874.79307,625.9709599,0,25858,24088,1770,7
2,VA,Accomack,33164,30163.64972,26847.70482,727.000007,0,15877,15012,865,5
3,ID,Ada,392365,299582.0814,137142.5048,209.4716262,1.931906998,217052,209058,7994,4
4,IA,Adair,7682,5496.847853,4916.79045,605.0662874,0,4226,4089,137,3
5,KY,Adair,18656,16197.37953,14058.08633,1068.049343,0,6946,6429,517,7
6,MO,Adair,25607,21611.2062,13186.97002,1119.634024,0,10446,9858,588,6
7,OK,Adair,22683,19747.83242,17285.97497,1067.465756,0,8165,7669,496,6
8,CO,Adams,441603,316247.8734,129759.3745,1100.740722,36.21271418,247717,236940,10777,4
9,IA,Adams,4029,3091.34134,2367.543437,243.4612725,0,2292,2227,65,3
10,ID,Adams,3976,2686.260296,2492.223434,424.2091018,39.9800677,1715,1583,132,8
11,IL,Adams,67103,49605.06843,29246.60867,3500.701159,0,32515,30895,1620,5
12,IN,Adams,34387,31448.74848,22940.88212,3.732827783,0,16900,16254,646,4
13,MS,Adams,32297,28662.71584,20122.27106,569.7221867,0.740898397,11414,10503,911,8
14,ND,Adams,2343,1350.377053,1038.168569,527.7341808,14.87545953,1109,1077,32,3
15,NE,Adams,31364,23311.41714,13563.35853,1213.955563,0,16611,16091,520,3
16,OH,Adams,28550,23530.97734,20153.79181,791.6686542,0,10681,9842,839,8
17,PA,Adams,101407,85736.73104,70371.81979,0,0,54988,52677,2311,4
18,WA,Adams,18728,13811.46899,9790.012246,1813.25276,335.2917771,8618,8018,600,7
19,WI,Adams,20875,19943.74642,18388.84894,3389.665147,0,8335,7730,605,7
20,VT,Addison,36821,32722.2646,27325.41085,28.2690345,0,20682,19964,718,4
21,SC,Aiken,160099,138224.6227,100872.3619,2168.095408,0,73925,69577,4348,6
22,MN,Aitkin,16202,15254.99295,13797.61309,4916.416544,200.6296539,6871,6423,448,7
23,FL,Alachua,247336,198799.0466,106916.2448,191.0703032,0,129509,123529,5980,5
24,NC,Alamance,151131,128085.9565,87994.85692,2861.016177,0,77289,73147,4142,5
25,CA,Alameda,1510271,757614.7222,190944.3297,111.8658841,0,823130,784217,38913,5
