,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More
0,SC,Abbeville,25417,24360.33225,21510.19482,5176.769348,0.0
1,LA,Acadia,61773,44415.58912,32874.79307,625.9709598999999,0.0
2,VA,Accomack,33164,30163.649719999998,26847.70482,727.000007,0.0
3,ID,Ada,392365,299582.0814,137142.5048,209.47162619999997,1.931906998
4,IA,Adair,7682,5496.847853,4916.79045,605.0662874,0.0
5,KY,Adair,18656,16197.379530000002,14058.086330000002,1068.049343,0.0
6,MO,Adair,25607,21611.2062,13186.97002,1119.634024,0.0
7,OK,Adair,22683,19747.83242,17285.97497,1067.465756,0.0
8,CO,Adams,441603,316247.8734,129759.3745,1100.740722,36.21271418
9,IA,Adams,4029,3091.34134,2367.5434370000003,243.4612725,0.0
10,ID,Adams,3976,2686.260296,2492.223434,424.20910180000004,39.9800677
11,IL,Adams,67103,49605.06843,29246.608669999998,3500.701159,0.0
12,IN,Adams,34387,31448.748480000002,22940.88212,3.7328277830000003,0.0
13,MS,Adams,32297,28662.715839999997,20122.27106,569.7221867000001,0.740898397
14,ND,Adams,2343,1350.377053,1038.168569,527.7341808,14.87545953
15,NE,Adams,31364,23311.41714,13563.358530000001,1213.955563,0.0
16,OH,Adams,28550,23530.97734,20153.79181,791.6686542,0.0
17,PA,Adams,101407,85736.73104,70371.81979,0.0,0.0
18,WA,Adams,18728,13811.468990000001,9790.012246,1813.25276,335.2917771
19,WI,Adams,20875,19943.74642,18388.84894,3389.6651469999997,0.0
20,VT,Addison,36821,32722.2646,27325.41085,28.269034499999997,0.0
21,SC,Aiken,160099,138224.6227,100872.3619,2168.0954079999997,0.0
22,MN,Aitkin,16202,15254.99295,13797.61309,4916.416544,200.62965390000002
23,FL,Alachua,247336,198799.0466,106916.2448,191.07030319999998,0.0
24,NC,Alamance,151131,128085.9565,87994.85692,2861.016177,0.0
25,CA,Alameda,1510271,757614.7222,190944.3297,111.8658841,0.0
26,CO,Alamosa,15445,9652.189026,5791.60689,780.894017,68.55243062
27,NY,Albany,304204,225350.362,112026.4165,1005.170626,0.0
28,WY,Albany,36299,31175.31575,17725.090180000003,2010.579866,1177.394463
29,VA,Albemarle,98970,82659.20244,56648.11187000001,289.1695166,0.0
30,MI,Alcona,10942,10421.52195,10120.44031,1264.48249,0.0
31,MS,Alcorn,37057,33431.89231,28022.029739999998,1177.211228,0.0
32,AK,Aleutians East,3141,2816.445715,2289.55031,1226.050471,1122.13804
33,AK,Aleutians West,5561,4299.800005,3489.2203289999998,717.3822682,706.0000107000001
34,IL,Alexander,8238,6823.847475,5817.6834850000005,3208.796822,0.0
35,NC,Alexander,37198,35480.24222,31707.046130000002,61.00959633,0.0
36,VA,Alexandria,139966,31562.913010000004,0.0,0.0,0.0
37,OK,Alfalfa,5642,5310.26274,4362.443381,3429.267964,0.0
38,MI,Alger,9601,8179.6891049999995,7629.074538,3335.69165,868.7945308000001
39,IA,Allamakee,14330,11873.96317,9511.876189,1295.0949130000001,0.0
40,MI,Allegan,111408,97833.51055,77907.0535,298.879756,0.0
41,MD,Allegany,75087,63802.28547,49682.90208,1132.6148699999999,0.0
42,NY,Allegany,48946,42291.47777,38070.8379,173.6000983,0.0
43,NC,Alleghany,11155,10061.12325,8993.258943,402.74373149999997,0.0
44,VA,Alleghany,16250,13657.87896,11030.360059999999,341.7653335,0.0
45,PA,Allegheny,1223348,897174.4879,396959.4487,0.0,0.0
