,State,City,Murders,Source,Population,"Murder Rate (per 100,000)"
0,Illinois,Chicago,378,https://portal.chicagopolice.org/portal/page/portal/ClearPath/News/Crime%20Statistics,"2,720,546",19.7
1,Florida,Orlando,19,OPD,"270,934",26.9
2,Tennessee,Memphis,114,MPD,"655,770",24.1
3,Arizona,Phoenix,72,PPD,"1,563,025",7.1
4,Nevada,Las Vegas,90,http://www.lvmpd.com/Sections/Homicide/HomicideLog/tabid/454/Default.aspx,"623,747",20.0
5,Texas,San Antonio,78,SAPD,"1,469,845",7.6
6,Kentucky,Louisville,52,https://louisvilleky.gov/government/police/lmpd-transparency,"615,366",12.8
7,Texas,Dallas,95,DPD,"1,300,092",9.1
8,Texas,Houston,191,http://www.houstontx.gov/police/cs/index-2.htm,"2,296,224",9.2
9,Indiana,Fort Wayne,17,FWPD,"260,326",13.1
10,Georgia,Atlanta,68,http://www.atlantapd.org/crimedatadownloads.aspx,"463,878",18.3
11,Indiana,Indianapolis,102,IPD,"853,173",13.7
12,Texas,Austin,13,http://www.austintexas.gov/page/chiefs-monthly-reports,"931,830",3.0
13,Missouri,Kansas City,77,http://kcmo.gov/police/homicide-3/crime-stats/,"475,378",18.9
14,Texas,Arlington,4,http://www.arlington-tx.gov/police/wp-content/uploads/sites/9/2016/08/UCR-Crime-Summary.pdf,"388,125",4.4
15,California,San Jose,22,http://www.sjpd.org/CrimeStats/updates/Part_One_Crimes_Reported_YTD.pdf?cacheID=20160921,"1,026,908",3.4
16,New Mexico,Albuquerque,35,APD,"559,121",8.2
17,Florida,Jacksonville,67,JPSO,"67,357",115.8
18,California,Santa Ana,10,SAPD,"335,400",6.0
19,Oklahoma,Tulsa,43,TPD,"403,505",12.9
20,Nebraska,Lincoln,0,http://www.lincoln.ne.gov/city/police/stats/stats.htm,"277,348",3.2
21,California,Stockton,30,SPD,"305,658",12.4
22,Alaska,Anchorage,19,APD,"298,695",8.7
23,New York,Buffalo,31,http://www.bpdny.org/Home/Statistics,"258,071",14.7
24,California,San Diego,23,http://crimestats.arjis.org/default.aspx,"1,394,928",2.2
25,Alabama,Mobile,6,https://www.mobilepd.org/precinct/pdf/UCR_April_Public.pdf,"194,288",6.2
26,North Carolina,Greensboro,15,http://www.greensboro-nc.gov/modules/showdocument.aspx?documentid=29678,"285,342",7.0
