,State,County,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
2,AL,Autauga,"25,602","24,272","1,330",5.0
3,AL,Baldwin,"87,705","82,843","4,862",6.0
4,AL,Barbour,"8,609","7,844",765,9.0
5,AL,Bibb,"8,572","8,005",567,7.0
6,AL,Blount,"24,473","23,152","1,321",5.0
7,AL,Bullock,"4,777","4,398",379,8.0
8,AL,Butler,"9,134","8,440",694,8.0
9,AL,Calhoun,"45,910","42,679","3,231",7.0
10,AL,Chambers,"14,975","14,069",906,6.0
11,AL,Cherokee,"11,158","10,549",609,6.0
12,AL,Chilton,"19,133","18,054","1,079",6.0
13,AL,Choctaw,"4,378","3,980",398,9.0
14,AL,Clarke,"7,992","7,054",938,12.0
15,AL,Clay,"5,548","5,208",340,6.0
16,AL,Cleburne,"5,677","5,335",342,6.0
17,AL,Coffee,"20,269","19,062","1,207",6.0
18,AL,Colbert,"23,603","21,733","1,870",8.0
19,AL,Conecuh,"4,681","4,249",432,9.0
20,AL,Coosa,"4,426","4,130",296,7.0
21,AL,Covington,"15,457","14,353","1,104",7.0
22,AL,Crenshaw,"6,355","5,974",381,6.0
23,AL,Cullman,"36,384","34,472","1,912",5.0
24,AL,Dale,"19,837","18,575","1,262",6.0
25,AL,Dallas,"15,589","14,094","1,495",10.0
26,AL,DeKalb,"28,767","27,022","1,745",6.0
27,AL,Elmore,"36,743","34,897","1,846",5.0
28,AL,Escambia,"14,597","13,571","1,026",7.0
29,AL,Etowah,"42,684","40,045","2,639",6.0
30,AL,Fayette,"6,422","5,971",451,7.0
31,AL,Franklin,"13,661","12,782",879,6.0
32,AL,Geneva,"10,785","10,147",638,6.0
33,AL,Greene,"2,878","2,559",319,11.0
34,AL,Hale,"6,047","5,577",470,8.0
35,AL,Henry,"6,715","6,259",456,7.0
36,AL,Houston,"44,550","41,767","2,783",6.0
37,AL,Jackson,"23,461","21,900","1,561",7.0
38,AL,Jefferson,"310,883","292,958","17,925",6.0
39,AL,Lamar,"5,615","5,260",355,6.0
40,AL,Lauderdale,"42,649","39,687","2,962",7.0
41,AL,Lawrence,"13,673","12,616","1,057",8.0
42,AL,Lee,"70,859","67,140","3,719",5.0
43,AL,Limestone,"39,948","37,757","2,191",6.0
44,AL,Lowndes,"3,827","3,385",442,12.0
45,AL,Macon,"7,967","7,326",641,8.0
46,AL,Madison,"170,889","161,516","9,373",6.0
47,AL,Marengo,"7,406","6,839",567,8.0
48,AL,Marion,"12,483","11,615",868,7.0
49,AL,Marshall,"40,382","38,049","2,333",6.0
50,AL,Mobile,"186,910","174,057","12,853",7.0
51,AL,Monroe,"7,340","6,601",739,10.0
52,AL,Montgomery,"105,051","98,643","6,408",6.0
53,AL,Morgan,"54,904","51,678","3,226",6.0
54,AL,Perry,"3,485","3,137",348,10.0
55,AL,Pickens,"8,007","7,465",542,7.0
56,AL,Pike,"14,939","13,956",983,7.0
57,AL,Randolph,"9,433","8,876",557,6.0
58,AL,Russell,"24,104","22,674","1,430",6.0
59,AL,St.,"38,570","36,552","2,018",5.0
60,AL,Shelby,"108,198","103,643","4,555",4.0
61,AL,Sumter,"5,107","4,699",408,8.0
62,AL,Talladega,"35,134","32,824","2,310",7.0
63,AL,Tallapoosa,"18,740","17,598","1,142",6.0
64,AL,Tuscaloosa,"98,867","93,482","5,385",5.0
65,AL,Walker,"25,560","23,714","1,846",7.0
66,AL,Washington,"6,699","6,102",597,9.0
67,AL,Wilcox,"2,824","2,410",414,15.0
68,AL,Winston,"9,375","8,669",706,8.0
70,AK,Aleutians,"2,479","2,399",80,3.0
71,AK,Aleutians,"4,072","3,914",158,4.0
72,AK,Anchorage,"157,011","149,082","7,929",5.0
73,AK,Bethel,"7,377","6,314","1,063",14.0
74,AK,Bristol,382,346,36,9.0
75,AK,Denali,"1,072",978,94,9.0
76,AK,Dillingham,"2,044","1,846",198,10.0
77,AK,Fairbanks,"46,469","43,929","2,540",6.0
78,AK,Haines,"1,089",982,107,10.0
79,AK,Hoonah-Angoon,"1,136",964,172,15.0
80,AK,Juneau,"17,118","16,309",809,5.0
81,AK,Kenai,"27,685","25,511","2,174",8.0
82,AK,Ketchikan,"6,974","6,493",481,7.0
83,AK,Kodiak,"6,630","6,310",320,5.0
84,AK,Kusilvak,"2,815","2,163",652,23.0
85,AK,Lake,647,566,81,13.0
86,AK,Matanuska-Susitna,"46,260","42,698","3,562",8.0
87,AK,Nome,"4,090","3,601",489,12.0
88,AK,North,"4,312","4,065",247,6.0
89,AK,Northwest,"2,916","2,448",468,16.0
90,AK,Petersburg,"1,497","1,363",134,9.0
91,AK,Prince,"2,768","2,419",349,13.0
92,AK,Prince,,,,
93,AK,Sitka,"4,607","4,395",212,5.0
94,AK,Skagway,814,720,94,12.0
95,AK,Skagway-Hoonah-Angoon,,,,
96,AK,Southeast,"3,013","2,692",321,11.0
97,AK,Valdez-Cordova,"4,889","4,465",424,9.0
98,AK,Wrangell,"1,033",951,82,8.0
99,AK,Wrangell-Petersburg,,,,
100,AK,Yakutat,259,237,22,9.0
101,AK,Yukon-Koyukuk,"2,415","1,971",444,18.0
103,AZ,Apache,"20,518","17,796","2,722",13.0
104,AZ,Cochise,"50,087","46,447","3,640",7.0
105,AZ,Coconino,"72,942","68,209","4,733",7.0
106,AZ,Gila,"21,110","19,447","1,663",8.0
107,AZ,Graham,"14,447","13,388","1,059",7.0
108,AZ,Greenlee,"4,027","3,709",318,8.0
109,AZ,La,"8,135","7,530",605,7.0
110,AZ,Maricopa,"2,013,552","1,910,598","102,954",5.0
111,AZ,Mohave,"79,210","72,935","6,275",8.0
112,AZ,Navajo,"40,521","36,613","3,908",10.0
113,AZ,Pima,"463,229","437,916","25,313",6.0
114,AZ,Pinal,"156,475","146,677","9,798",6.0
115,AZ,Santa,"19,783","17,520","2,263",11.0
116,AZ,Yavapai,"95,782","90,422","5,360",6.0
117,AZ,Yuma,"93,222","73,038","20,184",22.0
119,AR,Arkansas,"9,487","9,092",395,4.0
120,AR,Ashley,"8,146","7,515",631,8.0
121,AR,Baxter,"16,217","15,329",888,6.0
122,AR,Benton,"121,826","117,246","4,580",4.0
123,AR,Boone,"15,844","15,072",772,5.0
124,AR,Bradley,"4,383","4,117",266,6.0
125,AR,Calhoun,"2,408","2,277",131,5.0
126,AR,Carroll,"12,657","12,080",577,5.0
127,AR,Chicot,"3,726","3,388",338,9.0
128,AR,Clark,"9,453","8,928",525,6.0
129,AR,Clay,"6,297","5,882",415,7.0
130,AR,Cleburne,"9,609","8,944",665,7.0
131,AR,Cleveland,"3,358","3,169",189,6.0
132,AR,Columbia,"9,537","8,914",623,7.0
133,AR,Conway,"8,639","8,113",526,6.0
134,AR,Craighead,"50,999","48,745","2,254",4.0
135,AR,Crawford,"26,854","25,460","1,394",5.0
136,AR,Crittenden,"21,424","20,102","1,322",6.0
137,AR,Cross,"8,101","7,663",438,5.0
138,AR,Dallas,"2,873","2,666",207,7.0
139,AR,Desha,"5,547","5,142",405,7.0
140,AR,Drew,"7,926","7,374",552,7.0
141,AR,Faulkner,"59,915","57,123","2,792",5.0
142,AR,Franklin,"7,412","7,047",365,5.0
143,AR,Fulton,"4,759","4,511",248,5.0
144,AR,Garland,"39,950","37,769","2,181",6.0
145,AR,Grant,"8,258","7,883",375,5.0
146,AR,Greene,"19,950","18,918","1,032",5.0
147,AR,Hempstead,"9,856","9,369",487,5.0
148,AR,Hot,"14,158","13,445",713,5.0
149,AR,Howard,"6,057","5,802",255,4.0
150,AR,Independence,"15,667","14,656","1,011",7.0
151,AR,Izard,"4,979","4,650",329,7.0
152,AR,Jackson,"6,188","5,723",465,8.0
153,AR,Jefferson,"28,769","26,744","2,025",7.0
154,AR,Johnson,"10,399","9,801",598,6.0
155,AR,Lafayette,"2,617","2,418",199,8.0
156,AR,Lawrence,"7,046","6,623",423,6.0
157,AR,Lee,"3,180","2,968",212,7.0
158,AR,Lincoln,"4,126","3,873",253,6.0
159,AR,Little,"5,594","5,289",305,6.0
160,AR,Logan,"9,162","8,636",526,6.0
161,AR,Lonoke,"33,000","31,618","1,382",4.0
162,AR,Madison,"7,082","6,810",272,4.0
163,AR,Marion,"6,524","6,187",337,5.0
164,AR,Miller,"19,910","18,916",994,5.0
165,AR,Mississippi,"18,370","16,720","1,650",9.0
166,AR,Monroe,"2,973","2,793",180,6.0
167,AR,Montgomery,"3,227","3,008",219,7.0
168,AR,Nevada,"3,633","3,452",181,5.0
169,AR,Newton,"3,394","3,230",164,5.0
170,AR,Ouachita,"9,882","9,256",626,6.0
171,AR,Perry,"4,201","3,944",257,6.0
172,AR,Phillips,"6,995","6,466",529,8.0
173,AR,Pike,"4,168","3,922",246,6.0
174,AR,Poinsett,"10,064","9,502",562,6.0
