State,State Abb,County,UID (county-state),Unemployment Rate,Population
Mississippi,MS,Newton,Newton-MS,6.225,21720
Mississippi,MS,Panola,Panola-MS,8.816666667,34707
Mississippi,MS,Monroe,Monroe-MS,7.483333333,36989
Mississippi,MS,Hinds,Hinds-MS,6.066666667,245285
Mississippi,MS,Kemper,Kemper-MS,10.425,10456
Mississippi,MS,Calhoun,Calhoun-MS,6.358333333,14962
Mississippi,MS,Clarke,Clarke-MS,7.95,16732
Mississippi,MS,Jefferson,Jefferson-MS,14.9,7726
Mississippi,MS,Madison,Madison-MS,4.65,95203
Mississippi,MS,Sharkey,Sharkey-MS,9.866666667,4916
Mississippi,MS,Tunica,Tunica-MS,9.241666667,10778
Mississippi,MS,Tate,Tate-MS,7.15,28886
Mississippi,MS,Lafayette,Lafayette-MS,5.558333333,47351
Mississippi,MS,Bolivar,Bolivar-MS,7.958333333,34145
Mississippi,MS,Stone,Stone-MS,7.491666667,17786
Mississippi,MS,Noxubee,Noxubee-MS,9.891666667,11545
Mississippi,MS,Lamar,Lamar-MS,4.883333333,55658
Mississippi,MS,Lee,Lee-MS,5.616666667,82910
Mississippi,MS,Desoto,Desoto-MS,4.891666667,161252
Mississippi,MS,Adams,Adams-MS,8.083333333,32297
Mississippi,MS,Pontotoc,Pontotoc-MS,5.641666667,29957
Mississippi,MS,Marion,Marion-MS,7.425,27088
Mississippi,MS,Jasper,Jasper-MS,7.866666667,17062
Mississippi,MS,Simpson,Simpson-MS,5.933333333,27503
Mississippi,MS,Sunflower,Sunflower-MS,10.75,29450
Mississippi,MS,Hancock,Hancock-MS,6.541666667,43929
Mississippi,MS,Winston,Winston-MS,8.35,19198
Mississippi,MS,Carroll,Carroll-MS,8.433333333,10597
Mississippi,MS,Copiah,Copiah-MS,7.3,29449
Mississippi,MS,Jefferson Davis,Jefferson Davis-MS,8.75,12487
Mississippi,MS,Lincoln,Lincoln-MS,6.175,34869
Mississippi,MS,Marshall,Marshall-MS,7.341666667,37144
Mississippi,MS,Jackson,Jackson-MS,7.166666667,139668
Mississippi,MS,Pike,Pike-MS,7.408333333,40404
Mississippi,MS,Prentiss,Prentiss-MS,6.125,25276
Mississippi,MS,Perry,Perry-MS,8,12250
Mississippi,MS,Franklin,Franklin-MS,7.791666667,8118
Mississippi,MS,Lowndes,Lowndes-MS,7.075,59779
Mississippi,MS,Quitman,Quitman-MS,10.80833333,8223
Mississippi,MS,Neshoba,Neshoba-MS,6.2,29676
Mississippi,MS,Clay,Clay-MS,9.625,20634
Mississippi,MS,Attala,Attala-MS,7.716666667,19564
Mississippi,MS,Alcorn,Alcorn-MS,5.741666667,37057
Mississippi,MS,Chickasaw,Chickasaw-MS,7.766666667,17392
